Address,Price
Adaptive Insights,https://www.capterra.com/p/130072/Adaptive-Insights/,(163 reviews)
BOARD,https://www.capterra.com/p/73473/BOARD/,(92 reviews)
ClicData,https://www.capterra.com/p/145730/ClicData/,(83 reviews)
Funnel,https://www.capterra.com/p/156756/Funnel/,(10 reviews)
Corporater Business Management Platform,https://www.capterra.com/p/47491/Corporater-Business-Management-Platform/,(8 reviews)
Manta Flow,https://www.capterra.com/p/145178/Manta-Flow/,(0 reviews)
Adjust,https://www.capterra.com/p/156559/Adjust/,(5 reviews)
Hubble,https://www.capterra.com/p/146846/Hubble/,(79 reviews)
Hotjar,https://www.capterra.com/p/163516/Hotjar/,(150 reviews)
AnswerDock,https://www.capterra.com/p/182315/AnswerDock/,(0 reviews)
ManageEngine Analytics Plus,https://www.capterra.com/p/162096/ManageEngine-Analytics-Plus/,(5 reviews)
MoData,https://www.capterra.com/p/170421/MoData/,(9 reviews)
SysAid,https://www.capterra.com/p/107225/SysAid/,(101 reviews)
Cluvio,https://www.capterra.com/p/162332/Cluvio/,(36 reviews)
TapClicks,https://www.capterra.com/p/145227/TapClicks/,(73 reviews)
Bitrix24,https://www.capterra.com/p/113540/Bitrix24/,(260 reviews)
Competitors App,https://www.capterra.com/p/179374/Competitors-App/,(10 reviews)
Cumul.io,https://www.capterra.com/p/180092/Cumul-io/,(0 reviews)
UltiPro,https://www.capterra.com/p/480/UltiPro/,(697 reviews)
ActivTrak,https://www.capterra.com/p/135366/ActivTrak/,(438 reviews)
Deltek Vision,https://www.capterra.com/p/1404/Deltek-Vision/,(405 reviews)
Magento Business Intelligence,https://www.capterra.com/p/167535/Magento-Business-Intelligence/,(335 reviews)
Power BI,https://www.capterra.com/p/176586/Power-BI/,(296 reviews)
Klipfolio,https://www.capterra.com/p/130237/Klipfolio-Dashboard/,(146 reviews)
QlikView,https://www.capterra.com/p/76851/QlikView/,(107 reviews)
SAP BusinessObjects,https://www.capterra.com/p/92075/SAP-BusinessObjects/,(105 reviews)
SAP Crystal Reports,https://www.capterra.com/p/144572/SAP-Crystal-Reports/,(104 reviews)
WebFOCUS,https://www.capterra.com/p/118/WebFOCUS/,(102 reviews)
BI360,https://www.capterra.com/p/160355/BI360/,(69 reviews)
Stratum,https://www.capterra.com/p/75528/Stratum/,(49 reviews)
Necto,https://www.capterra.com/p/15156/Necto/,(46 reviews)
Informer,https://www.capterra.com/p/122059/Informer/,(44 reviews)
Oracle Business Intelligence,https://www.capterra.com/p/180/Oracle-Business-Intelligence/,(44 reviews)
Birst,https://www.capterra.com/p/119914/Birst/,(37 reviews)
SAP Analytics Cloud,https://www.capterra.com/p/163200/SAP-Analytics-Cloud/,(36 reviews)
TIBCO Spotfire,https://www.capterra.com/p/81277/TIBCO-Spotfire/,(34 reviews)
Pentaho Business Analytics,https://www.capterra.com/p/78014/Pentaho-Business-Analytics/,(34 reviews)
Holistics,https://www.capterra.com/p/153101/Holistics/,(29 reviews)
TARGIT Decision Suite,https://www.capterra.com/p/68488/TARGIT-BI-Suite/,(29 reviews)
MicroStrategy Enterprise Analytics,https://www.capterra.com/p/120/MicroStrategy-9/,(28 reviews)
SAS Business Intelligence,https://www.capterra.com/p/127/SAS-Business-Intelligence/,(27 reviews)
Datadeck,https://www.capterra.com/p/171239/DataDeck/,(26 reviews)
Phocas Software,https://www.capterra.com/p/141678/Phocas-Software/,(25 reviews)
iDashboards,https://www.capterra.com/p/56408/iDashboards/,(23 reviews)
CARTO,https://www.capterra.com/p/140192/CartoDB/,(22 reviews)
Periscope,https://www.capterra.com/p/156526/Periscope/,(22 reviews)
OCTELAS,https://www.capterra.com/p/167953/OCTELAS/,(17 reviews)
Altair SmartSight,https://www.capterra.com/p/155573/Envision/,(16 reviews)
SAP Lumira,https://www.capterra.com/p/145987/SAP-BusinessObjects-Lumira/,(16 reviews)
ProfitSword,https://www.capterra.com/p/156722/ProfitSword/,(15 reviews)
PINpoint,https://www.capterra.com/p/156040/PINpoint/,(14 reviews)
Iridium BI,https://www.capterra.com/p/177410/Iridium-BI/,(13 reviews)
Xtraction,https://www.capterra.com/p/95984/Xtraction/,(13 reviews)
DashThis,https://www.capterra.com/p/163170/DashThis/,(11 reviews)
Kyubit Business Intelligence,https://www.capterra.com/p/146822/Kyubit-Business-Intelligence/,(10 reviews)
MITS Distributor Analytics,https://www.capterra.com/p/82847/MITS-Distributor-Analytics/,(10 reviews)
Slemma,https://www.capterra.com/p/153269/Slemma/,(10 reviews)
BIME,https://www.capterra.com/p/132248/BIME/,(10 reviews)
DataFox,https://www.capterra.com/p/157970/DataFox/,(10 reviews)
The Diver Platform,https://www.capterra.com/p/112/The-Diver-Platform/,(9 reviews)
DataHero,https://www.capterra.com/p/170664/DataHero/,(9 reviews)
CleverAnalytics,https://www.capterra.com/p/174128/CleverAnalytics/,(8 reviews)
Planhat,https://www.capterra.com/p/149430/Planhat/,(8 reviews)
DBHawk,https://www.capterra.com/p/143486/DBHawk/,(8 reviews)
